bot_worker-1  | 2026-03-26 12:29:21,439 [INFO] [gpt-5.4-mini] Tokens: 4639 in / 79 out / 4718 total | cost ~$0.0128
bot_worker-1  | 2026-03-26 12:29:52,667 [INFO] [gpt-5.4-mini] Tokens: 3181 in / 72 out / 3253 total | cost ~$0.0090
bot_worker-1  | 2026-03-26 12:30:06,767 [INFO] [gpt-5.4-mini] Tokens: 3223 in / 40 out / 3263 total | cost ~$0.0087
bot_worker-1  | 2026-03-26 12:30:28,576 [INFO] [gpt-5.4-mini] Tokens: 4536 in / 65 out / 4601 total | cost ~$0.0123
bot_worker-1  | 2026-03-26 12:30:41,289 [INFO] [gpt-5.4-mini] Tokens: 4619 in / 14 out / 4633 total | cost ~$0.0118
bot_worker-1  | 2026-03-27 04:23:17,016 [INFO] [gpt-5.4-mini] Tokens: 4514 in / 97 out / 4611 total | cost ~$0.0127
bot_worker-1  | 2026-03-27 04:23:49,757 [INFO] [gpt-5.4-mini] Tokens: 4513 in / 115 out / 4628 total | cost ~$0.0130
bot_worker-1  | 2026-03-27 04:24:13,809 [INFO] [gpt-5.4-mini] Tokens: 4544 in / 89 out / 4633 total | cost ~$0.0127
bot_worker-1  | 2026-03-27 04:28:04,044 [INFO] [gpt-5.4-mini] Tokens: 6795 in / 97 out / 6892 total | cost ~$0.0184
bot_worker-1  | 2026-03-27 04:28:49,006 [INFO] [gpt-5.4-mini] Tokens: 6416 in / 90 out / 6506 total | cost ~$0.0174
bot_worker-1  | 2026-03-27 04:29:04,180 [INFO] [gpt-5.4-mini] Tokens: 5220 in / 110 out / 5330 total | cost ~$0.0147
bot_worker-1  | 2026-03-27 04:29:27,262 [INFO] [gpt-5.4-mini] Tokens: 6046 in / 83 out / 6129 total | cost ~$0.0164
bot_worker-1  | 2026-03-27 04:29:56,171 [INFO] [gpt-5.4-mini] Tokens: 5448 in / 44 out / 5492 total | cost ~$0.0143
bot_worker-1  | 2026-03-27 04:31:21,856 [INFO] [gpt-5.4-mini] Tokens: 5912 in / 33 out / 5945 total | cost ~$0.0153
bot_worker-1  | 2026-03-27 04:31:40,254 [INFO] [gpt-5.4-mini] Tokens: 3557 in / 27 out / 3584 total | cost ~$0.0093
bot_worker-1  | 2026-03-27 04:32:49,863 [INFO] [gpt-5.4-mini] Tokens: 5700 in / 100 out / 5800 total | cost ~$0.0158
bot_worker-1  | 2026-03-27 04:34:33,725 [INFO] [gpt-5.4-mini] Tokens: 6994 in / 120 out / 7114 total | cost ~$0.0193
bot_worker-1  | 2026-03-27 04:35:56,359 [INFO] [gpt-5.4-mini] Tokens: 6925 in / 96 out / 7021 total | cost ~$0.0188
bot_worker-1  | 2026-03-27 04:36:28,204 [INFO] [gpt-5.4-mini] Tokens: 5333 in / 118 out / 5451 total | cost ~$0.0151
bot_worker-1  | 2026-03-27 04:36:50,654 [INFO] [gpt-5.4-mini] Tokens: 7093 in / 86 out / 7179 total | cost ~$0.0190
bot_worker-1  | 2026-03-27 04:38:59,892 [INFO] [gpt-5.4-mini] Tokens: 6950 in / 67 out / 7017 total | cost ~$0.0184
bot_worker-1  | 2026-03-27 04:39:13,463 [INFO] [gpt-5.4-mini] Tokens: 7238 in / 68 out / 7306 total | cost ~$0.0191
bot_worker-1  | 2026-03-27 04:40:47,536 [INFO] [gpt-5.4-mini] Tokens: 7165 in / 118 out / 7283 total | cost ~$0.0197
bot_worker-1  | 2026-03-27 04:42:28,281 [INFO] [gpt-5.4-mini] Tokens: 7124 in / 108 out / 7232 total | cost ~$0.0194
bot_worker-1  | 2026-03-27 04:42:46,391 [INFO] [gpt-5.4-mini] Tokens: 6831 in / 123 out / 6954 total | cost ~$0.0189
bot_worker-1  | 2026-03-27 04:43:03,335 [INFO] [gpt-5.4-mini] Tokens: 5368 in / 240 out / 5608 total | cost ~$0.0170
bot_worker-1  | 2026-03-27 17:52:11,669 [INFO] [gpt-5.4-mini] Tokens: 5799 in / 119 out / 5918 total | cost ~$0.0163
bot_worker-1  | 2026-03-27 17:52:27,047 [INFO] [gpt-5.4-mini] Tokens: 5919 in / 185 out / 6104 total | cost ~$0.0176
bot_worker-1  | 2026-03-27 17:52:44,796 [INFO] [gpt-5.4-mini] Tokens: 7432 in / 115 out / 7547 total | cost ~$0.0203
bot_worker-1  | 2026-03-27 17:54:03,630 [INFO] [gpt-5.4-mini] Tokens: 7547 in / 120 out / 7667 total | cost ~$0.0207
bot_worker-1  | 2026-03-29 08:18:40,147 [INFO] [gpt-5.4-mini] Tokens: 3416 in / 39 out / 3455 total | cost ~$0.0091
bot_worker-1  | 2026-03-30 06:10:28,823 [INFO] [gpt-5.4-mini] Tokens: 4290 in / 58 out / 4348 total | cost ~$0.0116
bot_worker-1  | 2026-03-30 06:11:00,874 [INFO] [gpt-5.4-mini] Tokens: 5153 in / 117 out / 5270 total | cost ~$0.0146
bot_worker-1  | 2026-03-30 06:11:29,955 [INFO] [gpt-5.4-mini] Tokens: 5684 in / 90 out / 5774 total | cost ~$0.0156
bot_worker-1  | 2026-03-30 06:11:40,813 [INFO] [gpt-5.4-mini] Tokens: 5530 in / 14 out / 5544 total | cost ~$0.0140
bot_worker-1  | 2026-03-30 08:23:21,658 [INFO] [gpt-5.4-mini] Tokens: 6935 in / 86 out / 7021 total | cost ~$0.0186
bot_worker-1  | 2026-03-30 08:23:41,412 [INFO] [gpt-5.4-mini] Tokens: 7063 in / 99 out / 7162 total | cost ~$0.0191
bot_worker-1  | 2026-03-30 08:30:54,705 [INFO] [gpt-5.4-mini] Tokens: 3788 in / 94 out / 3882 total | cost ~$0.0109
bot_worker-1  | 2026-03-30 08:31:48,020 [INFO] [gpt-5.4-mini] Tokens: 6544 in / 71 out / 6615 total | cost ~$0.0174
bot_worker-1  | 2026-03-30 08:32:09,141 [INFO] [gpt-5.4-mini] Tokens: 6227 in / 60 out / 6287 total | cost ~$0.0165
bot_worker-1  | 2026-03-30 08:32:23,614 [INFO] [gpt-5.4-mini] Tokens: 5104 in / 81 out / 5185 total | cost ~$0.0140
bot_worker-1  | 2026-03-30 11:11:40,997 [INFO] [gpt-5.4-mini] Tokens: 5893 in / 27 out / 5920 total | cost ~$0.0151
bot_worker-1  | 2026-03-31 03:49:31,784 [INFO] [gpt-5.4-mini] Tokens: 4711 in / 85 out / 4796 total | cost ~$0.0131
bot_worker-1  | 2026-03-31 03:50:03,151 [INFO] [gpt-5.4-mini] Tokens: 5898 in / 96 out / 5994 total | cost ~$0.0162
bot_worker-1  | 2026-03-31 03:50:26,551 [INFO] [gpt-5.4-mini] Tokens: 6564 in / 100 out / 6664 total | cost ~$0.0179
bot_worker-1  | 2026-03-31 03:50:52,375 [INFO] [gpt-5.4-mini] Tokens: 6751 in / 97 out / 6848 total | cost ~$0.0183
bot_worker-1  | 2026-03-31 03:58:33,912 [INFO] [gpt-5.4-mini] Tokens: 4813 in / 26 out / 4839 total | cost ~$0.0124
bot_worker-1  | 2026-03-31 04:00:16,320 [INFO] [gpt-5.4-mini] Tokens: 3502 in / 41 out / 3543 total | cost ~$0.0094
bot_worker-1  | 2026-03-31 04:41:55,614 [INFO] [gpt-5.4-mini] Tokens: 4447 in / 49 out / 4496 total | cost ~$0.0119
bot_worker-1  | 2026-03-31 04:42:06,709 [INFO] [gpt-5.4-mini] Tokens: 5737 in / 98 out / 5835 total | cost ~$0.0158
bot_worker-1  | 2026-03-31 04:42:18,987 [INFO] [gpt-5.4-mini] Tokens: 6844 in / 67 out / 6911 total | cost ~$0.0181
bot_worker-1  | 2026-03-31 04:42:34,508 [INFO] [gpt-5.4-mini] Tokens: 5799 in / 59 out / 5858 total | cost ~$0.0154
bot_worker-1  | 2026-03-31 04:42:40,202 [INFO] [gpt-5.4-mini] Tokens: 6719 in / 41 out / 6760 total | cost ~$0.0174
bot_worker-1  | 2026-03-31 04:43:08,143 [INFO] [gpt-5.4-mini] Tokens: 5246 in / 86 out / 5332 total | cost ~$0.0144
bot_worker-1  | 2026-03-31 04:43:17,272 [INFO] [gpt-5.4-mini] Tokens: 6801 in / 69 out / 6870 total | cost ~$0.0180
bot_worker-1  | 2026-03-31 04:54:42,505 [INFO] [gpt-5.4-mini] Tokens: 5030 in / 108 out / 5138 total | cost ~$0.0142
bot_worker-1  | 2026-03-31 04:55:09,878 [INFO] [gpt-5.4-mini] Tokens: 6569 in / 92 out / 6661 total | cost ~$0.0178
bot_worker-1  | 2026-03-31 04:55:30,600 [INFO] [gpt-5.4-mini] Tokens: 6629 in / 116 out / 6745 total | cost ~$0.0183
bot_worker-1  | 2026-03-31 04:55:54,117 [INFO] [gpt-5.4-mini] Tokens: 6466 in / 29 out / 6495 total | cost ~$0.0166
bot_worker-1  | 2026-03-31 04:56:07,530 [INFO] [gpt-5.4-mini] Tokens: 6796 in / 87 out / 6883 total | cost ~$0.0183
bot_worker-1  | 2026-03-31 04:56:27,077 [INFO] [gpt-5.4-mini] Tokens: 6857 in / 33 out / 6890 total | cost ~$0.0176
bot_worker-1  | 2026-03-31 04:57:00,850 [INFO] [gpt-5.4-mini] Tokens: 6766 in / 37 out / 6803 total | cost ~$0.0175
bot_worker-1  | 2026-03-31 04:57:18,491 [INFO] [gpt-5.4-mini] Tokens: 5222 in / 121 out / 5343 total | cost ~$0.0149
bot_worker-1  | 2026-03-31 04:58:05,680 [INFO] [gpt-5.4-mini] Tokens: 6818 in / 134 out / 6952 total | cost ~$0.0191
bot_worker-1  | 2026-03-31 04:58:38,119 [INFO] [gpt-5.4-mini] Tokens: 6920 in / 121 out / 7041 total | cost ~$0.0191
bot_worker-1  | 2026-03-31 04:59:08,549 [INFO] [gpt-5.4-mini] Tokens: 6954 in / 43 out / 6997 total | cost ~$0.0180
bot_worker-1  | 2026-03-31 04:59:19,597 [INFO] [gpt-5.4-mini] Tokens: 6712 in / 84 out / 6796 total | cost ~$0.0180
bot_worker-1  | 2026-03-31 04:59:42,983 [INFO] [gpt-5.4-mini] Tokens: 5493 in / 112 out / 5605 total | cost ~$0.0154
bot_worker-1  | 2026-03-31 05:01:07,939 [INFO] [gpt-5.4-mini] Tokens: 5691 in / 87 out / 5778 total | cost ~$0.0155
bot_worker-1  | 2026-03-31 05:02:06,532 [INFO] [gpt-5.4-mini] Tokens: 5646 in / 177 out / 5823 total | cost ~$0.0168
bot_worker-1  | 2026-03-31 05:03:09,265 [INFO] [gpt-5.4-mini] Tokens: 5611 in / 39 out / 5650 total | cost ~$0.0146
bot_worker-1  | 2026-03-31 05:03:56,571 [INFO] [gpt-5.4-mini] Tokens: 6334 in / 132 out / 6466 total | cost ~$0.0178
bot_worker-1  | 2026-03-31 05:04:31,953 [INFO] [gpt-5.4-mini] Tokens: 7099 in / 99 out / 7198 total | cost ~$0.0192
bot_worker-1  | 2026-03-31 05:04:55,776 [INFO] [gpt-5.4-mini] Tokens: 5825 in / 87 out / 5912 total | cost ~$0.0159
bot_worker-1  | 2026-03-31 05:05:15,947 [INFO] [gpt-5.4-mini] Tokens: 5906 in / 93 out / 5999 total | cost ~$0.0162
bot_worker-1  | 2026-03-31 05:05:40,152 [INFO] [gpt-5.4-mini] Tokens: 5206 in / 203 out / 5409 total | cost ~$0.0161
bot_worker-1  | 2026-03-31 05:06:44,184 [INFO] [gpt-5.4-mini] Tokens: 5911 in / 100 out / 6011 total | cost ~$0.0163
